"Feature name","Data Type","Feature Desciption","used"
"rx_hum_24_pmpm_ct","float","count per month of prescriptions related to CHEMOTHERAPY - PARP INHIBITORS drugs in the past one year {Based on Humana drug classification}","yes"
"rx_hum_78_pmpm_cost","float","cost per month of prescriptions related to PAIN MGMT - VISCOSUPPLEMENTS drugs in the past one year {Based on Humana drug classification}","no"
"total_er_obs_ds_clm","integer","days since last claim for overall claims related to emergency room observations in the past one year","no"
"cmsd2_inf_viral_other_pmpm_ct","float","claims per month related to certain infectious and parasitic diseases : other viral diseases in the past one year {based on CMS diagnosis code level2}","no"
"rx_nonotc_pmpm_ct","float","count per month of prescriptions related to non over the counter drugs in the past one year","yes"
"rx_phar_cat_publix_pmpm_ct","float","count per month of prescriptions purchased at publix pharmacy in the past one year","no"
"cmsd2_ano_cleft_pmpm_ct","float","claims per month related to congenital malformations, deformations and chromosomal abnormalities : cleft lip and cleft palate in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_neo_birth_pmpm_ct","float","claims per month related to certain conditions originating in the perinatal period : birth trauma in the past one year {based on CMS diagnosis code level2}","no"
"rev_pm_traum_pmpm_cd_ct","float","claim lines per month for a revenue code related to trauma response in the past one year","no"
"rx_hum_80_pmpm_cost","float","cost per month of prescriptions related to RESPIRATORY - ALPHA-1INHIBITORS drugs in the past one year {Based on Humana drug classification}","no"
"atlas_age65andolderpct2010","double","Percent of population 65 or older","yes"
"rx_hum_52_pmpm_ct","float","count per month of prescriptions related to MENTAL HEALTH drugs in the past one year {Based on Humana drug classification}","no"
"rev_pm_lab_pmpm_cd_ct","float","claim lines per month for a revenue code related to laboratory in the past one year","yes"
"cnt_cp_webstatement_9","integer","count per month of member interactions via webstatement with a lag of _9 from the score date in the past one year","yes"
"cnt_cp_vat_7","integer","count per month of member interactions via vat with a lag of _7 from the score date in the past one year","yes"
"cmsd2_res_res_lower_other_pmpm_ct","float","claims per month related to diseases of the respiratory system : other acute lower respiratory infections in the past one year {based on CMS diagnosis code level2}","no"
"rev_pm_xtrp_pmpm_cd_ct","float","claim lines per month for a revenue code related to other therapeutic services in the past one year","no"
"rx_hum_32_pmpm_cost","float","cost per month of prescriptions related to DERMATOLOGY - PSORIASIS AGENTS drugs in the past one year {Based on Humana drug classification}","yes"
"cnt_cp_emails_1","integer","count per month of member interactions via emails with a lag of _1 from the score date in the past one year","yes"
"rx_maint_pmpm_cost","float","cost per month of prescriptions related to maintenance drugs in the past one year","yes"
"rx_hum_48_pmpm_cost","float","cost per month of prescriptions related to HORMONE THERAPY drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_eye_blindness_pmpm_ct","float","claims per month related to diseases of the eye and adnexa : visual disturbances and blindness in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_74_pmpm_cost","float","cost per month of prescriptions related to PAIN MGMT - ANASTHETIC AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"bh_outpatient_allowed_pmpm_cost","double","allowed cost per month for behavioral health claims related to outpatient facilities in the past one year","no"
"total_ip_ltach_ds_clm","integer","days since last claim for overall claims related to long term acute hospitalization inpatient facilities in the past one year","no"
"total_ip_maternity_admit_ct_pmpm","double","admits per month for overall claims related to maternity inpatient facilities in the past one year","no"
"cmsd2_ext_pedestrian_pmpm_ct","float","claims per month related to external causes of morbidity : pedestrian injured in transport accident in the past one year {based on CMS diagnosis code level2}","no"
"cmsd1_ano_pmpm_ct","float","claims per month related to congenital malformations, deformations and chromosomal abnormalities in the past one year {based on CMS diagnosis code level1}","no"
"cmsd2_skn_appendages_pmpm_ct","float","claims per month related to diseases of the skin and subcutaneous tissue : disorders of skin appendages in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_77_pmpm_ct","float","count per month of prescriptions related to PAIN MGMT - NSAID AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"rx_phar_cat_meijer_pmpm_ct","float","count per month of prescriptions purchased at meijer pharmacy in the past one year","no"
"med_ip_ltach_ds_clm","integer","days since last claim for non-behavioral health claims related to long term acute hospitalization inpatient facilities in the past one year","no"
"rx_hum_21_pmpm_cost","float","cost per month of prescriptions related to CHEMOTHERAPY - CDK INHIBITORS drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_10_pmpm_cost","float","cost per month of prescriptions related to CARDIOLOGY - ANTIPLATELET AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_68_pmpm_ct","float","count per month of prescriptions related to OPHTHALMOLOGY - DRY EYE AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"cnt_cp_webstatement_3","integer","count per month of member interactions via webstatement with a lag of _3 from the score date in the past one year","yes"
"cmsd2_vco_communicable_pmpm_ct","float","claims per month related to factors influencing health status and contact with health services : persons with potential health hazards related to communicable diseases in the past one year {based on CMS diagnosis code level2}","yes"
"cmsd1_skn_pmpm_ct","float","claims per month related to diseases of the skin and subcutaneous tissue in the past one year {based on CMS diagnosis code level1}","yes"
"cmsd2_ano_genital_pmpm_ct","float","claims per month related to congenital malformations, deformations and chromosomal abnormalities : congenital malformations of genital organs in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_20_pmpm_ct","float","count per month of prescriptions related to CHEMOTHERAPY - AROMATASE INHIBITORS drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_end_metabolic_pmpm_ct","float","claims per month related to endocrine, nutritional and metabolic diseases : metabolic disorders in the past one year {based on CMS diagnosis code level2}","yes"
"cmsd2_men_men_substance_pmpm_ct","float","claims per month related to mental, behavioral and neurodevelopmental disorders : mental and behavioral disorders due to psychoactive substance use in the past one year {based on CMS diagnosis code level2}","yes"
"total_physician_office_visit_ct_pmpm","double","visits per month for overall claims related to physician office in the past one year","yes"
"cmsd2_mus_lesions_other_pmpm_ct","float","claims per month related to diseases of the musculoskeletal system and connective tissue : biomechanical lesions, not elsewhere classified in the past one year {based on CMS diagnosis code level2}","no"
"med_physician_office_ds_clm","integer","days since last claim for non-behavioral health claims related to physician office in the past one year","yes"
"cms_risk_adjustment_factor_a_amt","float","Risk Adjustment Factor A Amount","yes"
"cmsd2_inj_ankle/foot_pmpm_ct","float","claims per month related to injury, poisoning and certain other consequences of external causes : injuries to the ankle and foot in the past one year {based on CMS diagnosis code level2}","no"
"cnt_cp_livecall_3","integer","count per month of member interactions via livecall with a lag of _3 from the score date in the past one year","no"
"cmsd1_ner_pmpm_ct","float","claims per month related to diseases of the nervous system in the past one year {based on CMS diagnosis code level1}","yes"
"rx_generic_pmpm_cost","float","cost per month of prescriptions related to generic drugs in the past one year","yes"
"cmsd2_eye_retina_pmpm_ct","float","claims per month related to diseases of the eye and adnexa : disorders of choroid and retina in the past one year {based on CMS diagnosis code level2}","yes"
"cmsd2_ear_inner_pmpm_ct","float","claims per month related to diseases of the ear and mastoid process : diseases of inner ear in the past one year {based on CMS diagnosis code level2}","no"
"total_ip_mhsa_admit_ct_pmpm","double","admits per month for overall claims related to mental health and substance abuse inpatient facilities in the past one year","no"
"cmsd2_mus_spondylopath_pmpm_ct","float","claims per month related to diseases of the musculoskeletal system and connective tissue : spondylopathies in the past one year {based on CMS diagnosis code level2}","yes"
"cmsd2_res_res_up_other_pmpm_ct","float","claims per month related to diseases of the respiratory system : other diseases of upper respiratory tract in the past one year {based on CMS diagnosis code level2}","yes"
"rev_pm_card_pmpm_cd_ct","float","claim lines per month for a revenue code related to cardiology in the past one year","yes"
"rx_hum_54_pmpm_ct","float","count per month of prescriptions related to MENTAL HEALTH - ANTI-DEMENTIA AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"rwjf_premature_mortality","float","Health Outcomes - Premature age-adjusted mortality","yes"
"rx_phar_cat_cvs_pmpm_ct","float","count per month of prescriptions purchased at cvs pharmacy in the past one year","no"
"cnt_cp_livecall_8","integer","count per month of member interactions via livecall with a lag of _8 from the score date in the past one year","no"
"cmsd2_can_mal_skn_pmpm_ct","float","claims per month related to neoplasms : melanoma and other malignant neoplasms of skin in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_ext_inanimate_mech_force_pmpm_ct","float","claims per month related to external causes of morbidity : exposure to inanimate mechanical forces in the past one year {based on CMS diagnosis code level2}","no"
"cnt_cp_vat_10","integer","count per month of member interactions via vat with a lag of _10 from the score date in the past one year","yes"
"cmsd2_sns_mortality_pmpm_ct","float","claims per month related to symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified : ill-defined and unknown cause of mortality in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_13_pmpm_cost","float","cost per month of prescriptions related to CARDIOLOGY - CKD AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_82_pmpm_cost","float","cost per month of prescriptions related to RESPIRATORY - COPD drugs in the past one year {Based on Humana drug classification}","no"
"cmsd1_end_pmpm_ct","float","claims per month related to endocrine, nutritional and metabolic diseases in the past one year {based on CMS diagnosis code level1}","yes"
"rev_pm_dme_pmpm_cd_ct","float","claim lines per month for a revenue code related to durable medical equipment in the past one year","no"
"rx_hum_66_pmpm_cost","float","cost per month of prescriptions related to OPHTHALMOLOGY - AMD/DME AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_vco_bmi_pmpm_ct","float","claims per month related to factors influencing health status and contact with health services : body mass index (bmi) in the past one year {based on CMS diagnosis code level2}","yes"
"total_er_allowed_pmpm_cost","double","allowed cost per month for overall claims related to emergency room in the past one year","yes"
"cmsd2_inf_rickettsioses_pmpm_ct","float","claims per month related to certain infectious and parasitic diseases : rickettsioses in the past one year {based on CMS diagnosis code level2}","no"
"cci_ulc_pmpm_ct","float","count per month of claims related to ulcer disease in the past one year {Based on Charlson Comorbidity Index Categories}","no"
"rx_hum_47_pmpm_cost","float","cost per month of prescriptions related to HORMONE SUPPRESANT AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_neo_perinatal_other_pmpm_ct","float","claims per month related to certain conditions originating in the perinatal period : other disorders originating in the perinatal period in the past one year {based on CMS diagnosis code level2}","no"
"bh_otpr_pmpm_ct","float","count per month of behavioral health claims related to other personality in the past one year","no"
"cmsd2_dig_gallbladder/pancreas_pmpm_ct","float","claims per month related to diseases of the digestive system : disorders of gallbladder, biliary tract and pancreas in the past one year {based on CMS diagnosis code level2}","no"
"total_ip_maternity_allowed_pmpm_cost","double","allowed cost per month for overall claims related to maternity inpatient facilities in the past one year","no"
"bh_otel_pmpm_ct","float","count per month of behavioral health claims related to other elimination in the past one year","no"
"cnt_cp_print_9","integer","count per month of member interactions via print with a lag of _9 from the score date in the past one year","yes"
"cmsd2_ner_extrapyramidal_pmpm_ct","float","claims per month related to diseases of the nervous system : extrapyramidal and movement disorders in the past one year {based on CMS diagnosis code level2}","no"
"cnt_cp_livecall_9","integer","count per month of member interactions via livecall with a lag of _9 from the score date in the past one year","no"
"bh_apho_pmpm_ct","float","count per month of behavioral health claims related to anxiety phobias in the past one year","no"
"cnt_cp_vat_4","integer","count per month of member interactions via vat with a lag of _4 from the score date in the past one year","yes"
"cnt_cp_print_pmpm_ct","float","count per month of member interactions via print in the past one year","yes"
"rx_phar_cat_kmart_pmpm_ct","float","count per month of prescriptions purchased at kmart pharmacy in the past one year","no"
"rev_pm_mssd_pmpm_cd_ct","float","claim lines per month for a revenue code related to medical/surgical supplies and devices in the past one year","yes"
"rx_hum_86_pmpm_ct","float","count per month of prescriptions related to RHEUMATOID ARTHRITIS drugs in the past one year {Based on Humana drug classification}","yes"
"rx_hum_86_pmpm_cost","float","cost per month of prescriptions related to RHEUMATOID ARTHRITIS drugs in the past one year {Based on Humana drug classification}","no"
"total_bh_allowed_pmpm_cost","double","allowed cost per month for behavioral health claims in the past one year","yes"
"cmsd2_res_res_lower_pmpm_ct","float","claims per month related to diseases of the respiratory system : chronic lower respiratory diseases in the past one year {based on CMS diagnosis code level2}","yes"
"rx_hum_54_pmpm_cost","float","cost per month of prescriptions related to MENTAL HEALTH - ANTI-DEMENTIA AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_48_pmpm_ct","float","count per month of prescriptions related to HORMONE THERAPY drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_33_pmpm_ct","float","count per month of prescriptions related to DIABETES drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_inj_hip/thigh_pmpm_ct","float","claims per month related to injury, poisoning and certain other consequences of external causes : injuries to the hip and thigh in the past one year {based on CMS diagnosis code level2}","no"
"rx_specialty_ntwk_pmpm_cost","float","cost per month of prescriptions related to specialty drugs in the past one year","no"
"rx_hum_14_pmpm_cost","float","cost per month of prescriptions related to CARDIOLOGY - CLOTTING FACTORS drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_56_pmpm_ct","float","count per month of prescriptions related to MENTAL HEALTH - ANXIETY AGENTS drugs in the past one year {Based on Humana drug classification}","yes"
"bh_psyc_allowed_pmpm_cost","double","allowed cost per month for behavioral health claims related to psychiatric facilties in the past one year","no"
"cmsd2_ano_eye/ear/face/neck_pmpm_ct","float","claims per month related to congenital malformations, deformations and chromosomal abnormalities : congenital malformations of eye, ear, face and neck in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_gus_urolithiasis_pmpm_ct","float","claims per month related to diseases of the genitourinary system : urolithiasis in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_inj_knee/leg_pmpm_ct","float","claims per month related to injury, poisoning and certain other consequences of external causes : injuries to the knee and lower leg in the past one year {based on CMS diagnosis code level2}","no"
"bh_adtp_pmpm_ct","float","count per month of behavioral health claims related to anxiety trauma related: ptsd in the past one year","no"
"bh_ndad_pmpm_ct","float","count per month of behavioral health claims related to neuro development disorder: adhd in the past one year","no"
"rwjf_child_mortality","float","Health Outcomes - Child mortality rate","yes"
"cmsd2_cir_hypertensive_pmpm_ct","float","claims per month related to diseases of the circulatory system : hypertensive diseases in the past one year {based on CMS diagnosis code level2}","yes"
"rx_nonmaint_pmpm_cost","float","cost per month of prescriptions related to non maintenance drugs in the past one year","yes"
"rx_bh_pmpm_cost","float","cost per month of prescriptions related to behavioral health drugs in the past one year","no"
"cmsd2_bld_nutr_anemia_pmpm_ct","float","claims per month related to diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism : nutritional anemias in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_can_mal_eye/brain/cns_pmpm_ct","float","claims per month related to neoplasms : malignant neoplasms of eye, brain and other parts of central nervous system in the past one year {based on CMS diagnosis code level2}","no"
"bh_otds_pmpm_ct","float","count per month of behavioral health claims related to other dissociative in the past one year","no"
"rev_pm_ximage_pmpm_cd_ct","float","claim lines per month for a revenue code related to other imaging services in the past one year","yes"
"cmsd1_pre_pmpm_ct","float","claims per month related to pregnancy, childbirth and the puerperium in the past one year {based on CMS diagnosis code level1}","no"
"cms_low_income_ind","integer","Binary indicator that a member is receiving a subsidy from CMS","yes"
"cmsd2_inj_substances_pmpm_ct","float","claims per month related to injury, poisoning and certain other consequences of external causes : toxic effects of substances chiefly nonmedicinal as to source in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_skn_skn_postop_pmpm_ct","float","claims per month related to diseases of the skin and subcutaneous tissue : intraoperative and postprocedural complications of skin and subcutaneous tissue in the past one year {based on CMS diagnosis code level2}","no"
"rev_pm_ekgecg_pmpm_cd_ct","float","claim lines per month for a revenue code related to electrocardiogram in the past one year","yes"
"cmsd2_can_sec_end_pmpm_ct","float","claims per month related to neoplasms : secondary neuroendocrine tumors in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_men_nonpsychotic_pmpm_ct","float","claims per month related to mental, behavioral and neurodevelopmental disorders : anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders in the past one year {based on CMS diagnosis code level2}","yes"
"credit_bal_bankcard_severederog","double","Balance Bank Card Accts - Severe Derogatory Accts","no"
"credit_hh_agencyfirstmtg_new","double","% HH Agency 1st Mortgage Accts New w/in 12 months","no"
"rx_hum_39_pmpm_ct","float","count per month of prescriptions related to GASTROINTESTINAL DISEASE drugs in the past one year {Based on Humana drug classification}","no"
"rev_pm_op_pmpm_cd_ct","float","claim lines per month for a revenue code related to outpatient services in the past one year","no"
"total_ambulance_allowed_pmpm_cost","double","allowed cost per month for overall claims related to ambulance place of treatment in the past one year","no"
"rev_pm_ct_pmpm_cd_ct","float","claim lines per month for a revenue code related to ct scan in the past one year","yes"
"cmsd2_ext_assault_pmpm_ct","float","claims per month related to external causes of morbidity : assault in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_ext_self-harm_pmpm_ct","float","claims per month related to external causes of morbidity : intentional self-harm in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_vco_estrogen_pmpm_ct","float","claims per month related to factors influencing health status and contact with health services : estrogen receptor status in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_ext_bus_pmpm_ct","float","claims per month related to external causes of morbidity : bus occupant injured in transport accident in the past one year {based on CMS diagnosis code level2}","no"
"rev_pm_icu_pmpm_cd_ct","float","claim lines per month for a revenue code related to intensive care unit in the past one year","no"
"cmsd2_sns_urine_pmpm_ct","float","claims per month related to symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified : abnormal findings on examination of urine, without diagnosis in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_inf_mycoses_pmpm_ct","float","claims per month related to certain infectious and parasitic diseases : mycoses in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_can_mal_sec/unspec_pmpm_ct","float","claims per month related to neoplasms : malignant neoplasms of ill-defined, other secondary and unspecified sites in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_26_pmpm_cost","float","cost per month of prescriptions related to CHOLESTEROL - HOFH AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_can_mal_dig_pmpm_ct","float","claims per month related to neoplasms : malignant neoplasms of digestive organs in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_56_pmpm_cost","float","cost per month of prescriptions related to MENTAL HEALTH - ANXIETY AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"rev_pm_otdia_pmpm_cd_ct","float","claim lines per month for a revenue code related to miscellaneous dialysis in the past one year","no"
"rx_hum_05_pmpm_cost","float","cost per month of prescriptions related to ANTI-INFECTIVES - HIV AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_79_pmpm_cost","float","cost per month of prescriptions related to PRODUCTS/ SUPPLIES drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_25_pmpm_cost","float","cost per month of prescriptions related to CHOLESTEROL drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_11_pmpm_ct","float","count per month of prescriptions related to CARDIOLOGY - BLOOD AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"credit_prcnt_mtgcredit","double","% Balance to High Mortgage Credit","no"
"rev_pm_phar_pmpm_ct","float","claims per month for a revenue code related to pharmacy in the past one year","yes"
"cmsd2_inf_helminthiases_pmpm_ct","float","claims per month related to certain infectious and parasitic diseases : helminthiases in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_65_pmpm_cost","float","cost per month of prescriptions related to OPHTHALMOLOGY - ALLERGY AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_mus_dorsopath_pmpm_ct","float","claims per month related to diseases of the musculoskeletal system and connective tissue : deforming dorsopathies in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_59_pmpm_ct","float","count per month of prescriptions related to NEUROLOGY - MIGRAINE AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_can_mal_oral_pmpm_ct","float","claims per month related to neoplasms : malignant neoplasms of lip, oral cavity and pharynx in the past one year {based on CMS diagnosis code level2}","no"
"rx_pharmacies_pmpm_ct","float","number of phramacies used per month in the past one year","yes"
"cmsd1_gus_pmpm_ct","float","claims per month related to diseases of the genitourinary system in the past one year {based on CMS diagnosis code level1}","yes"
"rwjf_preventable_ip_rate","double","Clinical Care - Discharges for Ambulatory Care Sensitive Conditions per 1K Medicare Enrollees","yes"
"cmsd2_ano_chr_ab_pmpm_ct","float","claims per month related to congenital malformations, deformations and chromosomal abnormalities : chromosomal abnormalities, not elsewhere classified in the past one year {based on CMS diagnosis code level2}","no"
"cci_pvd_pmpm_ct","float","count per month of claims related to peripheral vascular disease in the past one year {Based on Charlson Comorbidity Index Categories}","yes"
"sex_cd","string","Member gender","yes"
"cmsd2_inf_infect_agents_pmpm_ct","float","claims per month related to certain infectious and parasitic diseases : bacterial and viral infectious agents in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_25_pmpm_ct","float","count per month of prescriptions related to CHOLESTEROL drugs in the past one year {Based on Humana drug classification}","no"
"total_ip_rehab_admit_ct_pmpm","double","admits per month for overall claims related to rehabilitation inpatient facilities in the past one year","no"
"cnt_cp_vat_8","integer","count per month of member interactions via vat with a lag of _8 from the score date in the past one year","yes"
"rx_hum_73_pmpm_cost","float","cost per month of prescriptions related to PAIN MGMT - ANALGESICS drugs in the past one year {Based on Humana drug classification}","no"
"lang_spoken_cd","string","Preferred language for member","yes"
"cnt_cp_emails_11","integer","count per month of member interactions via emails with a lag of _11 from the score date in the past one year","yes"
"rx_hum_45_pmpm_cost","float","cost per month of prescriptions related to GROWTH HORMONE drugs in the past one year {Based on Humana drug classification}","no"
"cms_ma_risk_score_nbr","float","Risk score assigned to a member based on medical claims","yes"
"cnt_cp_livecall_pmpm_ct","float","count per month of member interactions via livecall in the past one year","no"
"rx_hum_85_pmpm_cost","float","cost per month of prescriptions related to RESPIRATORY - PAH AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"total_ip_mhsa_ds_clm","integer","days since last claim for overall claims related to mental health and substance abuse inpatient facilities in the past one year","no"
"cmsd2_men_developmental_pmpm_ct","float","claims per month related to mental, behavioral and neurodevelopmental disorders : pervasive and specific developmental disorders in the past one year {based on CMS diagnosis code level2}","no"
"rx_phar_cat_medicine_shoppe_pmpm_ct","float","count per month of prescriptions purchased at medicine shoppe pharmacy in the past one year","no"
"rev_pm_leave_pmpm_cd_ct","float","claim lines per month for a revenue code related to leave of absence in the past one year","no"
"rx_phar_cat_costco_pmpm_ct","float","count per month of prescriptions purchased at costco pharmacy in the past one year","no"
"cmsd2_cir_pulm_heart_pmpm_ct","float","claims per month related to diseases of the circulatory system : pulmonary heart disease and diseases of pulmonary circulation in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_inf_lesions_pmpm_ct","float","claims per month related to certain infectious and parasitic diseases : viral infections characterized by skin and mucous membrane lesions in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_inf_zoonotic_pmpm_ct","float","claims per month related to certain infectious and parasitic diseases : certain zoonotic bacterial diseases in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_22_pmpm_ct","float","count per month of prescriptions related to CHEMOTHERAPY - MELANOMA AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_29_pmpm_ct","float","count per month of prescriptions related to COUGH/ COLD/ ALLERGY drugs in the past one year {Based on Humana drug classification}","yes"
"cmsd2_ner_episodic/paroxysmal_pmpm_ct","float","claims per month related to diseases of the nervous system : episodic and paroxysmal disorders in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_unc_new_disease_pmpm_ct","float","claims per month related to codes for special purposes : provisional assignment of new diseases of uncertain etiology or emergency use in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_83_pmpm_cost","float","cost per month of prescriptions related to RESPIRATORY - CYSTIC FIBROSIS AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"rev_pm_eeg_pmpm_cd_ct","float","claim lines per month for a revenue code related to eeg electroencephalogram in the past one year","no"
"rx_nonmail_pmpm_cost","float","cost per month of prescriptions related to non mail drugs in the past one year","yes"
"rev_pm_orgacq_pmpm_cd_ct","float","claim lines per month for a revenue code related to acquisition of body components in the past one year","no"
"cmsd2_inj_burns_other_pmpm_ct","float","claims per month related to injury, poisoning and certain other consequences of external causes : burns and corrosions of multiple and unspecified body regions in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_pre_delivery_pmpm_ct","float","claims per month related to pregnancy, childbirth and the puerperium : encounter for delivery in the past one year {based on CMS diagnosis code level2}","no"
"total_physician_office_ds_clm","integer","days since last claim for overall claims related to physician office in the past one year","yes"
"cci_dem_pmpm_ct","float","count per month of claims related to dementia in the past one year {Based on Charlson Comorbidity Index Categories}","no"
"cmsd2_can_mal_bone_pmpm_ct","float","claims per month related to neoplasms : malignant neoplasms of bone and articular cartilage in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_eye_lacrimal_pmpm_ct","float","claims per month related to diseases of the eye and adnexa : disorders of eyelid, lacrimal system and orbit in the past one year {based on CMS diagnosis code level2}","yes"
"bh_auts_pmpm_ct","float","count per month of behavioral health claims related to autism in the past one year","no"
"bh_ip_ltach_allowed_pmpm_cost","double","allowed cost per month for behavioral health claims related to long term acute hospitalization inpatient facilities in the past one year","no"
"rx_hum_00_pmpm_ct","float","count per month of prescriptions related to  drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_01_pmpm_ct","float","count per month of prescriptions related to ALTERNATIVE MEDICINE drugs in the past one year {Based on Humana drug classification}","yes"
"rx_hum_21_pmpm_ct","float","count per month of prescriptions related to CHEMOTHERAPY - CDK INHIBITORS drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_can_mal_neuro_end_pmpm_ct","float","claims per month related to neoplasms : malignant neuroendocrine tumors in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_dig_other_intest_pmpm_ct","float","claims per month related to diseases of the digestive system : other diseases of intestines in the past one year {based on CMS diagnosis code level2}","yes"
"cmsd2_vco_vco_other_pmpm_ct","float","claims per month related to factors influencing health status and contact with health services : persons with potential health hazards related to family and personal history and certain conditions influencing health status in the past one year {based on CMS diagnosis code level2}","yes"
"cnt_cp_vat_2","integer","count per month of member interactions via vat with a lag of _2 from the score date in the past one year","yes"
"cmsd2_ner_ner_other_pmpm_ct","float","claims per month related to diseases of the nervous system : other disorders of the nervous system in the past one year {based on CMS diagnosis code level2}","yes"
"rx_branded_pmpm_ct","float","count per month of prescriptions related to branded drugs in the past one year","yes"
"cmsd2_inf_hep_pmpm_ct","float","claims per month related to certain infectious and parasitic diseases : viral hepatitis in the past one year {based on CMS diagnosis code level2}","no"
"cmsd1_inf_pmpm_ct","float","claims per month related to certain infectious and parasitic diseases in the past one year {based on CMS diagnosis code level1}","yes"
"cmsd2_vco_hormone_pmpm_ct","float","claims per month related to factors influencing health status and contact with health services : hormone sensitivity malignancy status in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_neo_perinatal_cardio_pmpm_ct","float","claims per month related to certain conditions originating in the perinatal period : respiratory and cardiovascular disorders specific to the perinatal period in the past one year {based on CMS diagnosis code level2}","no"
"cmsd1_inj_pmpm_ct","float","claims per month related to injury, poisoning and certain other consequences of external causes in the past one year {based on CMS diagnosis code level1}","yes"
"credit_bal_autobank_new","double","Balance Auto Bank Loan Accts New w/in 12 months","no"
"bh_schz_pmpm_ct","float","count per month of behavioral health claims related to schizophrenia in the past one year","no"
"cmsd2_ext_acc_exposure_pmpm_ct","float","claims per month related to external causes of morbidity : accidental exposure to other specified factors in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_inf_intestinal_pmpm_ct","float","claims per month related to certain infectious and parasitic diseases : intestinal infectious diseases in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_sns_res_pmpm_ct","float","claims per month related to symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified : symptoms and signs involving the circulatory and respiratory systems in the past one year {based on CMS diagnosis code level2}","yes"
"rx_hum_47_pmpm_ct","float","count per month of prescriptions related to HORMONE SUPPRESANT AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"rev_pm_homeiv_pmpm_cd_ct","float","claim lines per month for a revenue code related to home iv therapy services in the past one year","no"
